time,temperature_2m,relative_humidity_2m,windspeed_10m,precipitation,cloudcover,weathercode,city,date,hour,day_name,period,weather_label
2026-03-20 00:00:00,21.8,83,3.6,0.0,9,1,Pune,2026-03-20,0,Friday,Night,Mainly Clear
2026-03-20 01:00:00,21.1,84,3.0,0.0,7,1,Pune,2026-03-20,1,Friday,Night,Mainly Clear
2026-03-20 02:00:00,20.4,85,2.6,0.0,0,0,Pune,2026-03-20,2,Friday,Night,Clear
2026-03-20 03:00:00,19.7,87,2.6,0.0,7,1,Pune,2026-03-20,3,Friday,Night,Mainly Clear
2026-03-20 04:00:00,19.0,88,3.2,0.0,3,0,Pune,2026-03-20,4,Friday,Night,Clear
2026-03-20 05:00:00,17.9,95,3.7,0.0,40,0,Pune,2026-03-20,5,Friday,Morning,Clear
2026-03-20 06:00:00,17.1,99,4.5,0.0,58,45,Pune,2026-03-20,6,Friday,Morning,Fog
2026-03-20 07:00:00,17.7,98,4.0,0.0,63,45,Pune,2026-03-20,7,Friday,Morning,Fog
2026-03-20 08:00:00,20.9,85,2.5,0.0,4,0,Pune,2026-03-20,8,Friday,Morning,Clear
2026-03-20 09:00:00,26.3,53,1.1,0.0,0,0,Pune,2026-03-20,9,Friday,Morning,Clear
2026-03-20 10:00:00,30.0,35,1.0,0.0,0,0,Pune,2026-03-20,10,Friday,Morning,Clear
2026-03-20 11:00:00,31.7,28,6.0,0.0,0,0,Pune,2026-03-20,11,Friday,Morning,Clear
2026-03-20 12:00:00,33.2,24,10.1,0.0,0,0,Pune,2026-03-20,12,Friday,Afternoon,Clear
2026-03-20 13:00:00,33.7,22,13.7,0.0,65,2,Pune,2026-03-20,13,Friday,Afternoon,Partly Cloudy
2026-03-20 14:00:00,33.6,23,15.5,0.0,67,2,Pune,2026-03-20,14,Friday,Afternoon,Partly Cloudy
2026-03-20 15:00:00,33.0,27,15.9,0.0,4,0,Pune,2026-03-20,15,Friday,Afternoon,Clear
2026-03-20 16:00:00,32.4,28,14.6,0.0,0,0,Pune,2026-03-20,16,Friday,Afternoon,Clear
2026-03-20 17:00:00,32.2,28,9.7,0.0,3,1,Pune,2026-03-20,17,Friday,Evening,Mainly Clear
2026-03-20 18:00:00,30.2,39,12.1,0.0,19,1,Pune,2026-03-20,18,Friday,Evening,Mainly Clear
2026-03-20 19:00:00,27.8,57,10.8,0.0,0,0,Pune,2026-03-20,19,Friday,Evening,Clear
2026-03-20 20:00:00,26.2,63,6.3,0.0,10,1,Pune,2026-03-20,20,Friday,Evening,Mainly Clear
2026-03-20 21:00:00,25.1,68,3.2,0.0,0,0,Pune,2026-03-20,21,Friday,Night,Clear
2026-03-20 22:00:00,24.2,71,3.0,0.0,0,0,Pune,2026-03-20,22,Friday,Night,Clear
2026-03-20 23:00:00,23.5,74,2.6,0.0,0,0,Pune,2026-03-20,23,Friday,Night,Clear
2026-03-21 00:00:00,22.4,77,2.9,0.0,0,0,Pune,2026-03-21,0,Saturday,Night,Clear
2026-03-21 01:00:00,21.7,80,2.9,0.0,0,0,Pune,2026-03-21,1,Saturday,Night,Clear
2026-03-21 02:00:00,20.9,83,3.0,0.0,0,0,Pune,2026-03-21,2,Saturday,Night,Clear
2026-03-21 03:00:00,20.4,85,1.4,0.0,0,0,Pune,2026-03-21,3,Saturday,Night,Clear
2026-03-21 04:00:00,20.0,86,1.1,0.0,0,0,Pune,2026-03-21,4,Saturday,Night,Clear
2026-03-21 05:00:00,19.8,87,2.6,0.0,0,0,Pune,2026-03-21,5,Saturday,Morning,Clear
